"DateID","LabID","CRA","Error","Material","Species","SiteID","SiteName","Longitude","Latitude","Region","cat","cat2","Region2"
57898,"SUERC-30981",4920,35,"grain","Triticum dicoccum",23423,"Powmyre Quarry, Airlie",-3.0289,56.6405,"Scotland","wheat","Wheat + Barley","scotland_main"
62681,"SUERC-30982",3880,35,"nutshell","Corylus avellana",17914,"Duggleby Howe",-0.6555,54.0903,"SEEngland","hazelnut","Hazelnut","england_wales"
211806,"SUERC-3126",4270,40,"grain (charred)","Hordeum vulgare",16731,"Skara Brae",-3.3417,59.0487,"Scotland","barley","Wheat + Barley","scottish_isles"
211807,"SUERC-3127",4735,40,"grain (charred)","Hordeum vulgare",16731,"Skara Brae",-3.3417,59.0487,"Scotland","barley","Wheat + Barley","scottish_isles"
211808,"SUERC-3128",4555,40,"grain (charred)","Hordeum vulgare",16731,"Skara Brae",-3.3417,59.0487,"Scotland","barley","Wheat + Barley","scottish_isles"
211809,"SUERC-3129",4605,40,"grain (charred)","Hordeum vulgare",16731,"Skara Brae",-3.3417,59.0487,"Scotland","barley","Wheat + Barley","scottish_isles"
57902,"SUERC-31341",4945,30,"nutshell (charred)","Corylus avellana",14065,"Low Caythorpe, Boynton",-0.2859,54.095,"SEEngland","hazelnut","Hazelnut","england_wales"
57904,"SUERC-31346",3935,30,"nutshell (charred)","Corylus avellana",14065,"Low Caythorpe, Boynton",-0.2859,54.095,"SEEngland","hazelnut","Hazelnut","england_wales"
57905,"SUERC-31347",4975,30,"nutshell (charred)","Corylus avellana",14065,"Low Caythorpe, Boynton",-0.2859,54.095,"SEEngland","hazelnut","Hazelnut","england_wales"
60883,"SUERC-315182",4770,30,"nutshell (charred)","Corylus avellana",23446,"Penmayne, St Minver",-4.8182,50.5493,"NWEnglandWales","hazelnut","Hazelnut","england_wales"
60884,"SUERC-315183",4775,30,"nutshell (charred)","Corylus avellana",23446,"Penmayne, St Minver",-4.8182,50.5493,"NWEnglandWales","hazelnut","Hazelnut","england_wales"
226245,"SUERC-32250",3465,30,"grain (charred)","Triticum cf dicoccum",23462,"Monkton Road, Minster, Thanet",1.3093,51.3347,"SEEngland","wheat","Wheat + Barley","england_wales"
226246,"SUERC-32251",3530,30,"grain (charred)","Triticum cf dicoccum/spelta",23462,"Monkton Road, Minster, Thanet",1.3093,51.3347,"SEEngland","wheat","Wheat + Barley","england_wales"
226248,"SUERC-32269",3420,30,"grain (charred)","Triticum cf dicoccum/spelta",23462,"Monkton Road, Minster, Thanet",1.3093,51.3347,"SEEngland","wheat","Wheat + Barley","england_wales"
226247,"SUERC-32886",3470,30,"grain (charred,glume bases)","Triticum spelta",23462,"Monkton Road, Minster, Thanet",1.3093,51.3347,"SEEngland","wheat","Wheat + Barley","england_wales"
71260,"SUERC-32989",3850,30,"grain (charred)","cf Hordeum vulgare",23477,"Hoo Road, Wainscott",0.5129,51.4141,"SEEngland","barley","Wheat + Barley","england_wales"
74289,"SUERC-33269",3420,30,"grain (charred)","Triticum dicoccum/spelta",23462,"Monkton Road, Minster, Thanet",1.3093,51.3347,"SEEngland","wheat","Wheat + Barley","england_wales"
71261,"SUERC-33331",3810,30,"grain (charred)","cf Hordeum vulgare",23477,"Hoo Road, Wainscott",0.5129,51.4141,"SEEngland","barley","Wheat + Barley","england_wales"
71262,"SUERC-33332",3205,30,"grain (charred)","Triticum dicoccum/spelta",23477,"Hoo Road, Wainscott",0.5129,51.4141,"SEEngland","wheat","Wheat + Barley","england_wales"
71263,"SUERC-33333",3220,30,"grain (charred)","Triticum dicoccum/spelta",23477,"Hoo Road, Wainscott",0.5129,51.4141,"SEEngland","wheat","Wheat + Barley","england_wales"
57923,"SUERC-33382",2920,30,"nutshell (charred)","Corylus avellana",23492,"Sandy Park, Drewsteignton",-3.8263,50.6926,"NWEnglandWales","hazelnut","Hazelnut","england_wales"
58541,"SUERC-33667",3085,30,"grain (charred)","Hordeum vulgare",13957,"Olympic Park, trench 9",-0.0086,51.5396,"SEEngland","barley","Wheat + Barley","england_wales"
57927,"SUERC-3386",4270,45,"nutshell (charred)","Corylus avellana",23504,"Church Lawford",-1.3408,52.3828,"SEEngland","hazelnut","Hazelnut","england_wales"
21255,"SUERC-34504",4470,30,"grain","Hordeum vulgare",21672,"Braes of Ha'breck, Wyre",-2.9843,59.1165,"Scotland","barley","Wheat + Barley","sea"
21283,"SUERC-34505",4510,30,"nutshell","Corylus avellana",21672,"Braes of Ha'breck, Wyre",-2.9843,59.1165,"Scotland","hazelnut","Hazelnut","sea"
21258,"SUERC-34506",4550,30,"grain","Hordeum vulgare",21672,"Braes of Ha'breck, Wyre",-2.9843,59.1165,"Scotland","barley","Wheat + Barley","sea"
71208,"SUERC-34525",3915,30,"nutshells (charred)","Corylus avellana",21087,"Boscombe Down, Amesbury",-1.7687,51.1686,"SEEngland","hazelnut","Hazelnut","england_wales"
71209,"SUERC-34526",3980,30,"nutshells (charred)","Corylus avellana",21087,"Boscombe Down, Amesbury",-1.7687,51.1686,"SEEngland","hazelnut","Hazelnut","england_wales"
71210,"SUERC-34527",4140,30,"nutshells (charred)","Corylus avellana",21087,"Boscombe Down, Amesbury",-1.7687,51.1686,"SEEngland","hazelnut","Hazelnut","england_wales"
